date,type,N,year,month
2002-05-03,WARN,4,2002,2002-05-01
2002-05-04,ARREST,390,2002,2002-05-01
2002-05-04,CRIM,592,2002,2002-05-01
2002-05-04,CIVIL,2112,2002,2002-05-01
2002-05-04,WARN,3,2002,2002-05-01
2002-05-05,CRIM,541,2002,2002-05-01
2002-05-05,CIVIL,1673,2002,2002-05-01
2002-05-05,ARREST,394,2002,2002-05-01
2002-05-05,WARN,2,2002,2002-05-01
2002-05-06,CIVIL,2311,2002,2002-05-01
2002-05-06,ARREST,225,2002,2002-05-01
2002-05-06,CRIM,545,2002,2002-05-01
2002-05-06,WARN,8,2002,2002-05-01
2002-05-07,ARREST,223,2002,2002-05-01
2002-05-07,CIVIL,2298,2002,2002-05-01
2002-05-07,CRIM,550,2002,2002-05-01
2002-05-07,WARN,3,2002,2002-05-01
2002-05-08,CIVIL,2600,2002,2002-05-01
2002-05-08,CRIM,521,2002,2002-05-01
2002-05-08,WARN,9,2002,2002-05-01
2002-05-08,ARREST,216,2002,2002-05-01
2002-05-09,CIVIL,2402,2002,2002-05-01
2002-05-09,CRIM,529,2002,2002-05-01
2002-05-09,WARN,5,2002,2002-05-01
2002-05-09,ARREST,251,2002,2002-05-01
2002-05-10,CIVIL,2751,2002,2002-05-01
2002-05-10,CRIM,621,2002,2002-05-01
2002-05-10,ARREST,277,2002,2002-05-01
2002-05-10,WARN,5,2002,2002-05-01
2002-05-11,CRIM,639,2002,2002-05-01
2002-05-11,CIVIL,1907,2002,2002-05-01
2002-05-11,ARREST,337,2002,2002-05-01
2002-05-11,WARN,1,2002,2002-05-01
2002-05-12,CRIM,367,2002,2002-05-01
2002-05-12,CIVIL,1078,2002,2002-05-01
2002-05-12,ARREST,228,2002,2002-05-01
2002-05-12,WARN,1,2002,2002-05-01
2002-05-13,CIVIL,1088,2002,2002-05-01
2002-05-13,CRIM,331,2002,2002-05-01
2002-05-13,ARREST,161,2002,2002-05-01
2002-05-13,WARN,3,2002,2002-05-01
2002-05-14,CRIM,473,2002,2002-05-01
2002-05-14,CIVIL,2101,2002,2002-05-01
2002-05-14,ARREST,284,2002,2002-05-01
2002-05-14,WARN,4,2002,2002-05-01
2002-05-15,CIVIL,2522,2002,2002-05-01
2002-05-15,ARREST,192,2002,2002-05-01
2002-05-15,CRIM,419,2002,2002-05-01
2002-05-15,WARN,2,2002,2002-05-01
2002-05-16,CIVIL,2635,2002,2002-05-01
2002-05-16,CRIM,624,2002,2002-05-01
2002-05-16,ARREST,294,2002,2002-05-01
2002-05-16,WARN,2,2002,2002-05-01
2002-05-17,CIVIL,2335,2002,2002-05-01
2002-05-17,CRIM,682,2002,2002-05-01
2002-05-17,ARREST,378,2002,2002-05-01
2002-05-17,WARN,10,2002,2002-05-01
2002-05-18,CRIM,529,2002,2002-05-01
2002-05-18,CIVIL,1479,2002,2002-05-01
2002-05-18,ARREST,394,2002,2002-05-01
2002-05-18,WARN,1,2002,2002-05-01
2002-05-19,ARREST,309,2002,2002-05-01
2002-05-19,CIVIL,1587,2002,2002-05-01
2002-05-19,CRIM,495,2002,2002-05-01
2002-05-19,WARN,1,2002,2002-05-01
2002-05-20,CIVIL,2791,2002,2002-05-01
2002-05-20,CRIM,634,2002,2002-05-01
2002-05-20,ARREST,236,2002,2002-05-01
2002-05-20,WARN,7,2002,2002-05-01
2002-05-21,CRIM,565,2002,2002-05-01
2002-05-21,CIVIL,2985,2002,2002-05-01
2002-05-21,ARREST,289,2002,2002-05-01
2002-05-21,WARN,3,2002,2002-05-01
2002-05-22,CIVIL,3128,2002,2002-05-01
2002-05-22,ARREST,256,2002,2002-05-01
2002-05-22,CRIM,591,2002,2002-05-01
2002-05-22,WARN,2,2002,2002-05-01
